Tags,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X
ADJ,-0.12,-0.04,-1.66,0.17,nan,-1.99,nan,0.91,-1.05,nan,-0.55,-0.31,nan,nan,-2.46,-1.56,nan
ADP,-2.22,1.99,-0.98,-3.54,nan,1.32,nan,0.70,0.93,nan,2.17,1.23,nan,-0.93,-0.22,-2.74,1.03
ADV,1.27,-2.84,2.07,0.38,nan,-0.46,0.31,-1.81,0.16,1.61,-0.91,-2.88,nan,2.25,-0.49,0.50,nan
AUX,1.49,0.45,0.93,-1.36,nan,-0.49,-1.43,-1.35,-0.70,nan,-0.01,-2.29,nan,nan,-0.99,0.40,-1.83
CCONJ,0.87,0.60,0.84,0.48,3.83,0.87,0.42,-0.34,-1.34,3.68,0.50,0.01,nan,2.51,-0.73,-0.05,-0.25
DET,-1.92,nan,-3.18,nan,nan,-0.98,-0.95,1.29,-1.56,nan,-1.97,-0.50,nan,nan,-1.40,-4.97,nan
INTJ,-0.65,0.42,0.59,1.31,6.24,0.47,5.56,-1.71,-1.84,2.28,-0.66,-1.09,nan,nan,-1.33,0.79,nan
NOUN,-0.30,0.10,-0.10,-0.94,nan,0.16,-0.28,-0.11,0.84,nan,-1.07,-1.73,nan,0.08,0.03,0.32,-1.54
NUM,-2.65,nan,-2.53,nan,nan,-2.54,nan,0.46,2.33,nan,-3.25,1.48,nan,nan,4.07,-2.06,1.53
PART,-0.64,-1.81,-0.64,1.25,nan,-0.76,nan,-2.36,-4.07,nan,-1.56,0.02,nan,nan,nan,0.92,nan
PRON,-0.15,-1.03,-0.69,1.34,nan,0.07,-3.02,-0.78,-1.88,nan,-1.41,-3.25,nan,nan,-3.26,0.73,nan
PROPN,-1.50,nan,-0.84,-2.15,nan,-2.41,1.78,-0.58,-1.44,nan,-1.50,2.38,nan,nan,-1.79,-0.53,-1.62
PUNCT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SCONJ,0.16,0.79,0.17,2.48,nan,-2.16,1.60,-2.80,-2.15,3.82,0.45,-2.95,nan,2.87,-2.96,0.93,nan
SYM,-0.37,nan,0.25,nan,nan,0.02,nan,-0.07,3.20,nan,-1.70,0.31,nan,nan,3.39,-0.52,nan
VERB,0.17,-1.09,-0.22,0.39,nan,0.77,nan,-0.53,-1.34,-1.22,0.68,-2.52,nan,-0.59,-1.13,0.51,-2.67
X,-1.22,1.61,0.25,0.50,nan,nan,nan,0.24,-1.65,nan,-2.05,1.09,nan,3.11,nan,-1.85,6.63
