Spearman_allwords,Spearman_dependents,adjacent_post,adjacent_tag,id,label,nearest_dep,nearest_dep_tag,pmi_adjacent,pmi_neardep,root_verb
0,0,,,wsj_0003.1.0,ref,researchers,NNS,0,0.301443272,reported
0,0,researchers,NNS,wsj_0003.1.1,quote,researchers,NNS,0.301443272,0.301443272,reported
0,0,,,wsj_0003.2.0,ref,researchers,NNS,0,0.301443272,said
0,0,,,wsj_0003.2.1,post-adv,researchers,NNS,0,0.301443272,said
0,0,researchers,NNS,wsj_0003.2.2,quote,researchers,NNS,0.301443272,0.301443272,said
0.421417791,0,using,VBG,wsj_0003.3.0,ref,using,VBG,0.506381559,0.506381559,stopped
0.025540472,0,using,VBG,wsj_0003.3.1,post-adj2,using,VBG,0.506381559,0.506381559,stopped
-0.125601234,0,in,IN,wsj_0003.4.0,ref,in,IN,-2.88295062,-2.88295062,appear
0.028229253,0,in,IN,wsj_0003.4.1,pre-adv,in,IN,-2.88295062,-2.88295062,appear
-0.695725243,-0.5,no,DT,wsj_0003.7.0,ref,There,EX,-4.972718629,-4.972718629,is
-0.49280538,0.5,no,DT,wsj_0003.7.1,post-adj2,There,EX,-4.972718629,-4.972718629,is
-0.182574186,0,James,NNP,wsj_0003.9.0,ref,Talcott,NNP,-0.405923499,-0.405923499,said
0,0,,,wsj_0003.9.1,iquote,Talcott,NNP,0,-0.405923499,said
0.346692,0,asbestos,NN,wsj_0003.11.0,ref,spokeswoman,NN,0.301443272,0.301443272,said
0.271430219,0,asbestos,NN,wsj_0003.11.1,post-adj2,spokeswoman,NN,0.301443272,0.301443272,said
0,0,,,wsj_0003.12.0,ref,company,NN,0,0.301443272,said
-1,0,the,DT,wsj_0003.12.1,quote,company,NN,-4.972718629,0.301443272,said
0,0,,,wsj_0003.15.0,ref,researchers,NNS,0,0.301443272,said
-1,0,the,DT,wsj_0003.15.1,quote,researchers,NNS,-4.972718629,0.301443272,said
0,0,Dr.,NNP,wsj_0003.16.0,ref,Talcott,NNP,-0.405923499,-0.405923499,said
0,0,,,wsj_0003.16.1,iquote,Talcott,NNP,0,-0.405923499,said
0,0,,,wsj_0003.17.0,ref,he,PRP,0,0.701568669,said
0,0,he,PRP,wsj_0003.17.1,quote,he,PRP,0.701568669,0.701568669,said
0,0,,,wsj_0003.19.0,ref,Talcott,NNP,0,-0.405923499,said
0,0,Dr.,NNP,wsj_0003.19.1,quote,Talcott,NNP,-0.405923499,-0.405923499,said
0,0,,,wsj_0003.21.0,ref,Mossman,NNP,0,-0.405923499,explained
0,0,Dr.,NNP,wsj_0003.21.1,quote,Mossman,NNP,-0.405923499,-0.405923499,explained
0.771428571,0,exposed,VBN,wsj_0003.24.0,ref,exposed,VBN,0.506381559,0.506381559,were
-0.257142857,0,exposed,VBN,wsj_0003.24.1,post-adj2,exposed,VBN,0.506381559,0.506381559,were
-0.139361655,0,clouds,NNS,wsj_0003.27.0,ref,Workers,NNS,0.301443272,0.301443272,described
0.061104726,0,clouds,NNS,wsj_0003.27.1,post-adv,Workers,NNS,0.301443272,0.301443272,described
0.228831021,0,Darrell,NNP,wsj_0003.28.0,ref,Phillips,NNP,-0.405923499,-0.405923499,said
0,0,,,wsj_0003.28.1,iquote,Phillips,NNP,0,-0.405923499,said
-0.459512381,-0.5,by,IN,wsj_0004.4.0,ref,by,IN,-2.88295062,-2.88295062,lengthened
-0.297462121,0.5,to,TO,wsj_0004.4.1,post-adj3,to,TO,0.903833231,0.903833231,lengthened
0.603803709,0.5,according,VBG,wsj_0004.4.2,post-adj3,according,VBG,0.506381559,0.506381559,lengthened
0.106553596,-1,by,IN,wsj_0004.4.3,post-adj3,by,IN,-2.88295062,-2.88295062,lengthened
0.441753449,-0.5,according,VBG,wsj_0004.4.4,post-adj3,according,VBG,0.506381559,0.506381559,lengthened
0.037737732,1,to,TO,wsj_0004.4.5,post-adj3,to,TO,0.903833231,0.903833231,lengthened
0.493589204,0,thought,VBN,wsj_0004.5.0,ref,thought,VBN,0.506381559,0.506381559,are
0.116093411,0,thought,VBN,wsj_0004.5.1,post-adv,thought,VBN,0.506381559,0.506381559,are
-0.316465356,0,considered,VBN,wsj_0004.6.0,ref,considered,VBN,0.506381559,0.506381559,are
-0.058848989,0,considered,VBN,wsj_0004.6.1,post-adv,considered,VBN,0.506381559,0.506381559,are
-0.486512773,0,a,DT,wsj_0004.7.0,ref,point,NN,-4.972718629,0.301443272,reached
-0.486512773,0,a,DT,wsj_0004.7.1,post-adv,point,NN,-4.972718629,0.301443272,reached
0.456989911,0,blip,VB,wsj_0004.8.0,ref,blip,VB,0.506381559,0.506381559,may
0.348103745,0,blip,VB,wsj_0004.8.1,post-adv,blip,VB,0.506381559,0.506381559,may
0.447922651,0,blip,VB,wsj_0004.8.2,post-adj3,blip,VB,0.506381559,0.506381559,may
-0.63470821,0,blip,VB,wsj_0004.8.3,post-adj3,blip,VB,0.506381559,0.506381559,may
-0.322794461,0,blip,VB,wsj_0004.8.4,post-adj3,blip,VB,0.506381559,0.506381559,may
-0.562170129,0,blip,VB,wsj_0004.8.5,post-adj3,blip,VB,0.506381559,0.506381559,may
0.117874382,0,blip,VB,wsj_0004.8.6,post-adj3,blip,VB,0.506381559,0.506381559,may
-0.602453366,-0.866025404,by,IN,wsj_0004.11.0,ref,by,IN,-2.88295062,-2.88295062,grew
-0.481962693,-0.866025404,during,IN,wsj_0004.11.1,post-adj3,during,IN,-2.88295062,-2.88295062,grew
0.192785077,0.866025404,to,TO,wsj_0004.11.2,post-adj3,to,TO,0.903833231,0.903833231,grew
-0.192785077,0,by,IN,wsj_0004.11.3,post-adj3,by,IN,-2.88295062,-2.88295062,grew
0.072294404,0.866025404,to,TO,wsj_0004.11.4,post-adj3,to,TO,0.903833231,0.903833231,grew
-0.216883212,0,during,IN,wsj_0004.11.5,post-adj3,during,IN,-2.88295062,-2.88295062,grew
0.029341257,1,comparable,JJ,wsj_0004.12.0,ref,yields,NNS,-1.503254446,0.301443272,beat
-0.866025404,0,comparable,JJ,wsj_0004.12.1,post-adv,yields,NNS,-1.503254446,0.301443272,beat
-0.126164851,-0.5,a,DT,wsj_0004.14.0,ref,yield,NN,-4.972718629,0.301443272,had
0.006758831,0.5,a,DT,wsj_0004.14.1,post-adj2,yield,NN,-4.972718629,0.301443272,had
-0.112537699,0.210818511,heavily,RB,wsj_0004.15.0,ref,heavily,RB,0.508775923,0.508775923,invests
-0.190588039,0.210818511,heavily,RB,wsj_0004.15.1,post-adv,heavily,RB,0.508775923,0.508775923,invests
-0.112537699,0.210818511,overseas,RB,wsj_0004.15.2,post-adj2,overseas,RB,0.508775923,0.508775923,invests
-0.008369186,0.5,to,TO,wsj_0004.17.0,ref,to,TO,0.903833231,0.903833231,fell
-0.053004843,-0.5,from,IN,wsj_0004.17.1,post-adj2,from,IN,-2.88295062,-2.88295062,fell
-0.116859186,1,sales,NNS,wsj_0008.1.0,ref,sales,NNS,0.301443272,0.301443272,suspended
-0.335410197,0,sales,NNS,wsj_0008.1.1,post-adv,sales,NNS,0.301443272,0.301443272,suspended
0,0,,,wsj_0008.2.0,ref,Treasury,NNP,0,-0.405923499,said
-1,0,the,DT,wsj_0008.2.1,quote,Treasury,NNP,-4.972718629,-0.405923499,said
0,0,,,wsj_0008.2.2,pre-adv,Treasury,NNP,0,-0.405923499,said
-0.428926964,0,the,DT,wsj_0008.6.0,ref,Treasury,NNP,-4.972718629,-0.405923499,said
-0.27090124,0,the,DT,wsj_0008.6.1,post-adv,Treasury,NNP,-4.972718629,-0.405923499,said
0.225986978,0,off,RP,wsj_0010.1.0,ref,off,RP,0.903833231,0.903833231,jet
-0.043939681,0.866025404,off,RP,wsj_0010.1.1,pre-adv,off,RP,0.903833231,0.903833231,jet
-0.106000914,1,to,TO,wsj_0010.9.0,ref,to,TO,0.903833231,0.903833231,raced
-0.106000914,1,to,TO,wsj_0010.9.1,pre-adj2,to,TO,0.903833231,0.903833231,raced
0.244129155,1,out,RP,wsj_0010.12.0,ref,out,RP,0.903833231,0.903833231,hauled
0.244129155,1,out,RP,wsj_0010.12.1,pre-adj2,out,RP,0.903833231,0.903833231,hauled
0.382765908,1,them,PRP,wsj_0010.17.0,ref,them,PRP,0.701568669,0.701568669,fed
-0.223630285,-1,Indiana,NNP,wsj_0010.17.1,dat-np-np,mousseline,NN,-0.405923499,0.301443272,fed
-0.474341649,0,the,DT,wsj_0010.18.0,ref,executives,NNS,-4.972718629,0.301443272,gave
-0.353093932,-1,a,DT,wsj_0010.18.1,dat-np-np,executives,NNS,-4.972718629,0.301443272,gave
-0.474341649,0,the,DT,wsj_0010.18.2,post-adv,executives,NNS,-4.972718629,0.301443272,gave
0.0870642,0,the,DT,wsj_0010.19.0,ref,tempts,VBZ,-4.972718629,0.506381559,say
-0.046880723,0,the,DT,wsj_0010.19.1,post-adj2,tempts,VBZ,-4.972718629,0.506381559,say
-0.473042251,-0.737864787,a,DT,wsj_0011.1.0,ref,Korea,NNP,-4.972718629,-0.405923499,registered
-0.015201736,0.316227766,a,DT,wsj_0011.1.1,post-adj2,Korea,NNP,-4.972718629,-0.405923499,registered
-0.416131306,0,at,IN,wsj_0011.3.0,ref,at,IN,-2.88295062,-2.88295062,stood
-0.330555958,0,at,IN,wsj_0011.3.1,post-adv,at,IN,-2.88295062,-2.88295062,stood
0.299183037,0,recorded,VBN,wsj_0011.6.0,ref,recorded,VBN,0.506381559,0.506381559,has
0.336580916,0,recorded,VBN,wsj_0011.6.1,post-adj2,recorded,VBN,0.506381559,0.506381559,has
-0.554257097,-1,from,IN,wsj_0011.7.0,ref,exports,NNS,-2.88295062,0.301443272,increased
-0.168686942,1,to,TO,wsj_0011.7.1,post-adj2,exports,NNS,0.903833231,0.301443272,increased
-1,-1,at,IN,wsj_0011.8.0,ref,at,IN,-2.88295062,-2.88295062,were
0.5,1,up,RB,wsj_0011.8.1,post-adj2,up,RB,0.508775923,0.508775923,were
-0.019739126,1,become,VBN,wsj_0012.3.0,ref,become,VBN,0.506381559,0.506381559,have
-0.019739126,1,become,VBN,wsj_0012.3.1,dat-np-np,become,VBN,0.506381559,0.506381559,have
0.244950892,-0.5,its,PRP$,wsj_0012.6.0,ref,magazine,NN,0.701568669,0.301443272,lowered
0.213137956,-1,its,PRP$,wsj_0012.6.1,post-adv,magazine,NN,0.701568669,0.301443272,lowered
0.227835733,-0.5,its,PRP$,wsj_0012.6.2,post-adj2,magazine,NN,0.701568669,0.301443272,lowered
0.096191129,0,it,PRP,wsj_0012.8.0,ref,Newsweek,NNP,0.701568669,-0.405923499,said
-0.003005973,0,it,PRP,wsj_0012.8.1,post-adj2,Newsweek,NNP,0.701568669,-0.405923499,said
0.077288173,0,reward,VB,wsj_0012.9.0,ref,reward,VB,0.506381559,0.506381559,will
0.186715982,0,reward,VB,wsj_0012.9.1,post-adj2,reward,VB,0.506381559,0.506381559,will
0,0,Mr.,NNP,wsj_0012.11.0,ref,Spoon,NNP,-0.405923499,-0.405923499,said
0,0,,,wsj_0012.11.1,iquote,Spoon,NNP,0,-0.405923499,said
0.095382838,0,been,VBN,wsj_0012.12.0,ref,been,VBN,0.506381559,0.506381559,have
0.22982722,0,been,VBN,wsj_0012.12.1,post-adj2,been,VBN,0.506381559,0.506381559,have
-0.041282839,0,the,DT,wsj_0013.6.0,ref,could,MD,-4.972718629,0.506381559,said
-0.185953314,0,the,DT,wsj_0013.6.1,post-adv,Rowe,NNP,-4.972718629,-0.405923499,said
-0.091054919,-0.5,substantial,JJ,wsj_0013.7.0,ref,substantial,JJ,-1.503254446,-1.503254446,seemed
-0.071207561,-0.6,substantial,JJ,wsj_0013.7.1,pre-adv,substantial,JJ,-1.503254446,-1.503254446,seemed
0,0,,,wsj_0013.8.0,ref,he,PRP,0,0.701568669,added
0,0,he,PRP,wsj_0013.8.1,quote,he,PRP,0.701568669,0.701568669,added
0,0,,,wsj_0013.10.0,ref,he,PRP,0,0.701568669,said
0,0,he,PRP,wsj_0013.10.1,quote,he,PRP,0.701568669,0.701568669,said
0,0,,,wsj_0013.10.2,pre-adv,he,PRP,0,0.701568669,said
0,0,,,wsj_0013.14.0,ref,Ross,NNP,0,-0.405923499,asserted
0,0,Mr.,NNP,wsj_0013.14.1,quote,Ross,NNP,-0.405923499,-0.405923499,asserted
0,0,,,wsj_0013.15.0,ref,he,PRP,0,0.701568669,added
0,0,he,PRP,wsj_0013.15.1,quote,he,PRP,0.701568669,0.701568669,added
0.263545479,0,it,PRP,wsj_0013.17.0,ref,Northeast,NNP,0.701568669,-0.405923499,said
0.0232925,0,so,IN,wsj_0013.17.1,post-adv,Northeast,NNP,-2.88295062,-0.405923499,said
0.271789454,0,it,PRP,wsj_0013.17.2,post-adv,Northeast,NNP,0.701568669,-0.405923499,said
-0.18025884,0.866025404,yesterday,NN,wsj_0013.18.0,ref,yesterday,NN,0.301443272,0.301443272,closed
-0.332055758,-0.866025404,in,IN,wsj_0013.18.1,post-adj2,in,IN,-2.88295062,-2.88295062,closed
