Tags,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X
ADJ,-0.1454,,-1.5631,-0.3297,,-1.0692,-2.6088,0.83551,-0.6962,,-0.5636,0.06349,,,-1.8276,-1.6005,-3.6001
ADP,-2.3261,0.74265,-1.1881,-3.5699,-0.5444,1.09424,-2.1121,0.71585,0.91187,,2.04713,1.34972,,,-0.0784,-2.8475,1.35601
ADV,1.3736,0.54786,2.30108,0.48316,,-0.1532,0.57844,-1.7804,0.39123,1.76761,-0.8159,-2.4704,,2.40916,-0.4907,0.49703,
AUX,1.53174,1.55281,0.80707,-0.5943,,-0.8977,-1.639,-1.4381,-0.8363,,-0.2116,-2.3507,,,-1.1903,0.49002,-1.3083
CCONJ,0.71717,1.96551,0.60447,0.03573,3.64623,0.57635,0.27119,-0.4287,-0.2624,3.46935,0.41533,0.29906,,2.3243,-0.865,0.07354,0.08726
DET,-1.9448,,-3.2534,,,-1.2777,-1.434,1.17856,-1.6847,,-2.2499,0.02267,,,-1.4183,-4.9337,-3.0102
INTJ,-0.0686,1.23034,0.58172,1.16563,4.19117,-0.1588,6.43084,-1.9534,-1.6471,2.29808,-0.8,-1.1015,,,-1.6827,0.79372,
NOUN,-0.3708,-0.3274,-0.0411,-1.2571,,0.52687,-0.5622,-0.1004,0.36109,,-1.0727,-1.5635,,0.83873,-0.1184,0.30187,-0.765
NUM,-2.6424,,-1.6917,-2.9407,,-2.0952,,0.37766,3.06351,,-3.8068,1.36027,,,4.3428,-1.94,2.19829
PART,-0.6199,-1.8535,-0.5714,1.02036,,-1.2426,,-2.4084,-3.994,,-1.6038,0.22459,,,-4.7665,0.90511,
PRON,-0.0541,-0.1385,-0.7708,1.49379,,-0.0802,-3.2048,-0.8149,-1.7205,,-1.2069,-3.2171,,,-2.7037,0.70256,-4.1961
PROPN,-1.3743,-2.7678,-0.6482,-1.8325,,-2.3496,1.7952,-0.3585,-1.7067,,-1.2836,2.12406,,,-1.9804,-0.3216,-1.3659
PUNCT,,,,,,,,,,,,,,,,,
SCONJ,0.3603,-1.5192,0.51866,2.3857,,-2.3234,0.87392,-2.563,-2.6597,3.45541,0.28688,-3.3205,,2.512,-3.4322,0.91339,
SYM,-0.2401,1.31153,0.12235,,6.59429,-1.0776,,-0.1567,3.76796,,-0.7188,0.13164,,,3.60793,-0.625,
VERB,0.24192,-0.748,-0.2811,0.54089,,0.40712,-1.9398,-0.5685,-1.7079,-0.6802,0.52272,-2.0666,,,-1.6021,0.50762,-0.7612
X,-1.1862,2.21961,-1.4289,,,,,-0.0278,-1.2428,,-2.6181,1.81933,,,,-1.2195,7.42883
