lang,h,d,pmi
en,PROPN,ADP,1.3497236021545511
en,PROPN,DET,0.022670164825608907
en,VERB,PROPN,-0.3216222476467756
en,VERB,NOUN,0.30187784284975194
en,NOUN,DET,1.1785649419690678
en,VERB,VERB,0.5076210146809004
en,NOUN,NUM,0.377662032383558
en,VERB,PART,0.9051179829341329
en,NOUN,VERB,-0.5685974018987956
en,NOUN,NOUN,-0.10045219352319279
en,NOUN,ADP,0.7158546091704103
en,NOUN,ADJ,0.8355110749046943
en,NOUN,PROPN,-0.3585065587643257
en,PROPN,ADJ,0.06349107543185184
en,PROPN,PROPN,2.124067501102683
en,VERB,ADV,0.49703150166209653
en,VERB,AUX,0.4900214616726224
en,VERB,PRON,0.7025620048879837
en,ADV,NOUN,-0.04112171935037878
en,VERB,CCONJ,0.07354367727846167
en,VERB,SCONJ,0.9133980049245629
en,NOUN,CCONJ,-0.42879963533253473
en,NOUN,PRON,-0.8149732670126433
en,NOUN,AUX,-1.4381041098356313
en,NOUN,PART,-2.408457747951779
en,VERB,ADJ,-1.600527386132537
en,NOUN,ADV,-1.7804275172036501
en,PROPN,NOUN,-1.563548432653132
en,ADJ,CCONJ,0.7171794523015969
en,ADJ,NOUN,-0.37081117355836923
en,ADJ,AUX,1.5317475349653655
en,NOUN,SCONJ,-2.5630356504946263
en,VERB,NUM,-1.940074082208051
en,PRON,ADP,2.0471346305504383
en,ADJ,PRON,-0.054169305598524176
en,VERB,ADP,-2.847532824573367
en,ADJ,ADV,1.3736004139455638
en,VERB,DET,-4.933729158792071
en,DET,ADP,1.094245865384945
en,ADJ,PART,-0.6199934288108402
en,ADV,ADV,2.3010809964972587
en,ADV,VERB,-0.2811738540163695
en,ADJ,ADP,-2.326190804765572
en,PROPN,PART,0.22459887848406979
en,ADJ,VERB,0.2419212296229638
en,PROPN,VERB,-2.066634973152917
en,ADJ,ADJ,-0.14543314504131288
en,PROPN,ADV,-2.470435134174748
en,ADV,PROPN,-0.6482904067332065
en,PROPN,NUM,1.3602779704886494
en,PRON,NOUN,-1.0727253543832056
en,ADJ,PROPN,-1.3743324544243087
en,ADJ,SCONJ,0.3603071319311404
en,DET,ADJ,-1.0692468532506076
en,PRON,VERB,0.5227284733225552
en,PRON,SCONJ,0.28688008268060017
en,PRON,PROPN,-1.2836915486420786
en,PRON,AUX,-0.21169592104332935
en,PRON,ADJ,-0.5636460471262588
en,PRON,ADV,-0.8159603692508703
en,ADV,PRON,-0.7708864783098406
en,ADV,AUX,0.8070775420472351
en,ADJ,DET,-1.9448184709086398
