id,pmi_neardep,pmi_adjacent,spearman_allwords,spearman_dependents,dlg,wtembdep,ldep,lm,bkpsl,target
cf01.1.1,0.0,0.0,-0.1757431262061464,0.0,12.0,-2640.179508,-18.0,-3.055,-2.91699103,0
cf01.2.1,0.0,0.0,0.026397357762593332,0.0,-3.0,1295.231477,-26.0,5.043,2.853967274,1
cf01.3.1,0.573,0.31899999999999995,0.6519469939428069,0.0,9.0,-3330.87634,0.0,-3.384,-6.367884953,0
cf01.4.1,0.0,0.0,0.0456797252081267,-0.30000000000000004,-4.0,-2007.913042,0.0,-2.712,-2.731841718,1
cf01.6.1,0.0,0.0,0.14575743749904468,0.2948043295829692,1.0,612.1313152,-44.0,0.9926,0.761620805,0
cf01.7.1,0.0,0.0,0.0,0.0,4.0,-1492.8477269999998,-19.0,-4.087,1.884577251,1
cf01.8.1,0.0,0.0,0.0,0.0,1.0,-1917.774148,3.0,-0.5539999999999999,-0.21145748,0
cf01.8.2,0.0,0.0,-0.021107951971215597,0.0,-1.0,-4167.906961,26.0,-3.929,-1.4447170130000002,1
cf01.8.3,0.0,0.0,-0.0066860437508083,0.0,16.0,-6797.493484999999,-18.0,-8.952,-14.1477584,0
cf01.8.4,0.0,0.0,0.014131865200572205,0.0,1.0,-602.4481311000001,-17.0,1.038,1.345259264,1
cf01.11.1,0.0,0.0,-0.31122034554266875,0.0,12.0,680.298446,-56.0,-2.7181,0.414755327,0
cf01.14.1,1.347,0.556,0.11730070911739139,-0.5296408977028496,-8.0,4647.739679,-45.0,3.2086,-0.67803184,1
cf01.16.1,0.0,0.0,0.07696113225782092,-0.177370761399672,0.0,-1374.0708960000002,22.0,-4.3338,-1.928383,0
cf01.16.2,0.0,0.0,0.0,0.0,0.0,219.5208694,-24.0,7.7585,0.99626375,1
cf01.16.3,0.0,0.0,0.006942271552378698,-0.1818482418633271,0.0,41.94535619,3.0,-6.1785,-3.268392973,0
cf01.16.4,1.146,0.31499999999999995,-0.005272611305604108,-0.4546206046583175,0.0,-510.7019019,-20.0,-0.8849,1.860055897,1
cf01.16.5,0.0,0.0,0.0757302013618083,-0.008962493972520025,0.0,-443.7420673,19.0,-5.0145,-3.674311384,0
cf01.20.1,0.0,0.0,-0.1565404256700003,0.6000000000000001,1.0,-727.6949357000001,1.0,-0.7234,4.505577978,1
cf01.26.1,0.0,0.0,0.6547009046356941,0.19913947492908846,-12.0,1808.263992,17.0,1.2476,-0.071165257,0
cf01.28.1,0.0,0.0,-0.049693975573364906,-0.6000000000000001,5.0,70.52874396,-1.0,-0.996,-2.8937111860000004,1
cf01.30.1,0.0,0.0,0.27781553445078766,0.6000000000000001,-3.0,1035.174675,0.0,-2.2478,-3.814232075,0
cf01.31.1,0.0,0.0,0.1155750509180667,0.0,-18.0,8148.578017,-2.0,1.4980000000000002,5.30164818,1
cf01.31.2,0.0,0.0,0.13399794297308532,0.0,-4.0,-3701.385719,-39.0,-1.01,-5.104040491,0
cf01.33.1,0.0,0.0,0.4569538373619862,-0.10000000000000009,-12.0,-704.3762278,-30.0,0.491,-0.818267739,1
cf01.40.1,0.0,0.0,0.0,0.0,0.0,-3779.599211,41.0,-1.742,-1.216961066,0
cf01.43.1,0.0,0.0,0.37839373433213486,0.0,0.0,-38.80652093,21.0,0.8368,4.364541895,1
cf01.49.1,0.0,0.0,0.11141196607349813,0.367544467966324,3.0,-726.3711466,62.0,-2.5442,0.082421026,0
cf01.52.1,0.0,0.0,-0.15492757427859633,0.09999999999999998,-3.0,516.3131002,-11.0,1.7468,1.821386504,1
cf01.55.1,0.0,0.0,0.0,0.0,-1.0,7313.153798,-112.0,-1.471,-2.65944829,0
cf01.57.1,0.0,0.0,0.1645455035086832,0.0,-4.0,-46.78831846,-30.0,4.7122,4.1485221,1
cf01.58.1,0.0,0.0,0.35641427914000157,0.6000000000000001,-5.0,-748.6385485000001,18.0,2.487,1.751496643,0
cf01.58.2,0.0,0.0,0.0,0.0,3.0,594.7962468999999,-27.0,-0.999,0.608794226,1
cf01.59.1,0.0,0.0,-0.0030471704059213955,0.0,-8.0,1911.456235,-135.0,1.686,2.528816407,0
cf01.61.1,0.0,0.0,-0.1834997380200386,-0.6000000000000001,1.0,192.2025361,-3.0,1.7663,1.980176658,1
cf01.63.1,0.0,0.0,0.03814392435354471,0.0,5.0,-990.5816271,-131.0,-2.9649,-6.981618492999999,0
