id,pmi_neardep,pmi_adjacent,spearman_allwords,spearman_dependents,dlg,wtembdep,ldep,lm,bkpsl,target
wsj_0003.1.1,0.69,0.33799999999999997,1.0,-1.0,-1.0,-368.1079489,10.0,-2.8864,-6.213174869,0
wsj_0003.2.1,0.0,0.0,0.0,0.0,-1.0,-150.0088075,86.0,-1.0036,-2.629474732,1
wsj_0003.2.2,-0.332,-0.491,-1.0,1.0,-1.0,-62.39896492,-15.0,-3.124,-6.228870799,0
wsj_0003.3.1,0.0,0.0,0.3524522922897018,0.0,3.0,-15.21984213,20.0,0.0169,0.402135376,1
wsj_0003.4.1,0.0,0.0,0.06792680298454482,-0.7891814893221081,4.0,553.112604,2.0,-0.8876,-2.434554985,0
wsj_0003.7.1,0.0,0.0,-0.20483414440254905,0.41039134083406165,1.0,110.6127617,0.0,1.3962,-1.201414461,1
wsj_0003.9.1,0.332,0.491,0.4028453577793621,-1.0,9.0,-987.9583742999998,10.0,-0.6449,-2.8483485280000003,0
wsj_0003.11.1,0.0,0.0,-0.0090076463318092,0.0,3.0,881.0576618999999,4.0,0.9766,0.239308406,1
wsj_0003.12.1,-0.02899999999999997,-0.291,-1.0,1.0,-1.0,-51.9519691,3.0,-4.0459,-5.883353082,0
wsj_0003.15.1,0.02899999999999997,0.291,1.0,-1.0,1.0,108.2577152,2.0,1.001,6.219136084,1
wsj_0003.16.1,0.332,0.491,0.8660254037844387,-1.0,1.0,-312.97451010000003,0.0,-0.0873,0.598381925,0
wsj_0003.17.1,-1.616,-0.697,-1.0,1.0,0.0,492.9912282,0.0,4.1716,7.750435632999999,1
wsj_0003.19.1,-0.332,-0.491,-0.8660254037844387,1.0,-1.0,110.01713429999998,-15.0,0.889,-3.485515392,0
wsj_0003.21.1,0.6930000000000001,0.591,-0.8660254037844387,1.0,1.0,135.8179865,0.0,-1.6072,3.853532657,1
wsj_0003.24.1,0.0,0.0,-0.684712471648625,0.0,-1.0,-47.93547383,0.0,-3.5378,-3.540452492,0
wsj_0003.27.1,0.0,0.0,-0.2488319219544451,0.0,-11.0,588.4165579,0.0,3.0585,7.882771657,1
wsj_0003.28.1,0.332,0.491,0.2378015470520429,-1.0,11.0,-2456.653107,2.0,-0.0866,-6.855246759,0
wsj_0004.4.1,-0.7989999999999999,-0.344,-0.4643208375588037,0.5999999999999999,-1.0,16.9797565,5.0,3.9434,2.83990898,1
wsj_0004.4.2,0.7929999999999999,0.44199999999999995,0.8452915887810171,-0.8,2.0,-440.3185408,19.0,-4.3201,-6.69238217,0
wsj_0004.4.3,0.0,0.0,-0.2088607087269501,-0.2,1.0,-122.9194792,-27.0,0.2956,5.139405036,1
wsj_0004.4.4,0.7929999999999999,0.44199999999999995,0.4519261448455758,-0.1999999999999999,0.0,240.6600374,0.0,-0.71,-3.657997136,0
wsj_0004.4.5,-0.7989999999999999,-0.344,-0.6783516922225725,0.9999999999999998,-2.0,79.87157022,-6.0,-0.9602,2.159900628,1
wsj_0004.5.1,-0.263,-0.13799999999999998,-0.3678434113135648,0.0,9.0,-101.0132115,-5.0,-4.3953,-4.725390556,0
wsj_0004.6.1,0.0,0.0,0.1375519275976083,0.0,-5.0,-15.7863883,-1.0,0.669,3.850075525,1
wsj_0004.7.1,0.0,0.0,0.0,0.0,5.0,-761.7511407000001,10.0,-6.8211,-1.935387083,0
wsj_0004.8.1,0.312,0.134,0.2364284528998092,0.0,-3.0,1884.481166,-3.0,2.2748,5.187733889,1
wsj_0004.8.2,-0.0020000000000000018,0.046999999999999986,0.021577134388247265,0.0,0.0,-185.4142499,52.0,-2.447,-2.839338348,0
wsj_0004.8.3,0.0020000000000000018,-0.046999999999999986,0.7622042909056229,0.0,-9.0,376.0163898,-50.0,4.2048,5.726351019,1
wsj_0004.8.4,0.0,0.0,-0.7282137199810488,0.0,6.0,-981.1299494,27.0,-2.9581,-3.448250865,0
wsj_0004.8.5,0.0020000000000000018,-0.046999999999999986,0.4754197603348125,0.0,-8.0,286.2369361,-24.0,0.8825,7.74465889,1
wsj_0004.8.6,-0.0020000000000000018,0.046999999999999986,-0.1540233036606286,0.0,4.0,-249.4756367,27.0,-1.3025,-3.542058664,0
wsj_0004.11.1,-0.07400000000000007,0.02999999999999997,-0.09354955564298628,0.3077935056255462,-1.0,29.7421696,-3.0,0.3845,2.8263397,1
wsj_0004.11.2,0.873,0.314,0.4922488523119037,-1.0772772696894117,0.0,9.022650601,2.0,0.4568,1.511856355,0
wsj_0004.11.3,0.0,0.0,0.28955814841876687,0.7181848464596079,1.0,-64.94405587,6.0,-1.8625,-1.401000094,1
wsj_0004.11.4,1.097,0.525,0.6853739557545903,-1.5782694628761806,0.0,-102.2962943,-30.0,-2.9188,-3.835665791,0
wsj_0004.11.5,-0.07400000000000007,0.02999999999999997,-0.4410193337455065,0.9233805168766387,-1.0,-240.09395580000003,30.0,0.8372,-1.028067753,1
wsj_0004.12.1,0.0,0.0,0.6338784843407551,-0.5,7.0,226.2535508,-1.0,-0.0198,-5.7020426010000005,0
wsj_0004.14.1,0.0,0.0,-0.06373557043491218,0.7999999999999998,-1.0,581.168034,-1.0,4.2796,7.88384072,1
wsj_0004.15.1,0.0,0.0,0.2728354761148749,0.0,2.0,-1114.063711,0.0,-5.7838,-8.814067159,0
wsj_0004.15.2,0.0,0.0,0.0,0.0,0.0,392.5714847,-20.0,4.7481,3.1633670510000003,1
wsj_0004.17.1,-1.233,-0.363,-0.0638915403313284,0.3999999999999999,0.0,-264.59513680000003,-18.0,-1.9187,-5.528233505,0
wsj_0008.1.1,0.0,0.0,-0.13599331471848639,0.5,-3.0,343.61886400000003,-1.0,-2.1886,5.889492628999999,1
wsj_0008.2.1,-0.02899999999999997,-0.291,-1.0,1.0,-1.0,-27.73300007,-3.0,-2.7783,-5.350686694,0
wsj_0008.2.2,0.0,0.0,0.0,0.0,-4.0,-188.6740491,19.0,4.134,2.050826,1
wsj_0008.6.1,0.0,0.0,0.1330661036057309,0.0,8.0,-503.6840642,1.0,-1.8039,-11.95804702,0
wsj_0010.1.1,0.0,0.0,0.20559226475192172,-0.0896086591659383,-2.0,-2492.886176,-2.0,2.1914,0.928610833,1
wsj_0010.9.1,0.0,0.0,0.0,0.0,-1.0,-1109.021755,3.0,1.5732,-0.8597145509999999,0
wsj_0010.12.1,0.0,0.0,0.0,0.0,2.0,-993.3734432,-1.0,-1.0294,0.919179067,1
wsj_0010.17.1,-0.056,0.153,0.14823132422970103,0.5,11.0,-342.9699617,4.0,-2.512,-0.6604279989999999,0
wsj_0010.18.1,0.03300000000000003,0.0,-0.4896138514612707,0.0,-1.0,348.1906673,4.0,-1.2738,0.621424479,1
wsj_0010.18.2,0.0,0.0,0.0,0.0,-2.0,441.0939114,28.0,-1.7645,0.099310704,0
wsj_0010.19.1,0.0,0.0,0.04496519242726199,0.0,1.0,7.290773596,55.0,0.2392,1.977963449,1
wsj_0011.1.1,0.0,0.0,0.4419289434312988,-0.6877018204322122,8.0,-500.9818669,-2.0,-6.4176,-6.049718705,0
wsj_0011.3.1,0.0,0.0,-0.09642298856249289,-0.1339745962155613,-2.0,446.1054072,1.0,3.467,3.742259118,1
wsj_0011.6.1,0.0,0.0,-0.030387204106040705,0.0,1.0,49.07022815,4.0,-2.3131,0.2685710289999999,0
wsj_0011.7.1,0.0,0.0,0.3555775054617749,0.6000000000000001,2.0,-350.82266360000006,9.0,-1.6065,-2.51500129,1
wsj_0011.8.1,1.233,0.363,0.8306277919354926,-1.1999999999999997,1.0,-36.07364798,3.0,0.0647,1.137128531,0
wsj_0012.3.1,0.0,0.0,0.0,0.0,-5.0,2068.282409,0.0,-0.2775,3.0659998560000004,1
wsj_0012.6.1,0.0,0.0,-0.024434602754801305,-0.4999999999999998,-1.0,-428.1650733,0.0,0.0969999999999999,0.286430065,0
wsj_0012.6.2,0.0,0.0,-0.009876893114943885,0.0,-2.0,-625.1806588,-76.0,3.771,1.345227131,1
wsj_0012.8.1,0.0,0.0,-0.09003112122083819,0.0,1.0,29.69438034,6.0,-0.5582,0.431693647,0
wsj_0012.9.1,0.0,0.0,0.3432254293705823,0.0,2.0,3133.781881,-3.0,3.5129,3.91724635,1
wsj_0012.11.1,0.332,0.491,0.8660254037844387,-1.0,1.0,116.1693632,0.0,0.1574,0.609224109,0
wsj_0012.12.1,0.0,0.0,-0.3591819302132817,0.0,-4.0,373.2319825,-4.0,1.6438,-0.3924582139999999,1
wsj_0013.6.1,-0.263,0.0,0.0648079513614929,0.0,45.0,-5609.063414,0.0,-3.937,-6.310980065,0
wsj_0013.7.1,0.0,0.0,0.016575266669002192,-0.12433748657040139,0.0,-2566.601264,1.0,-1.0924,5.594661601,1
wsj_0013.8.1,0.269,-0.061,1.0,-1.0,0.0,-126.6285567,4.0,-3.6406,-6.362615001,0
wsj_0013.10.1,-1.616,-0.697,-1.0,1.0,0.0,319.7654418,15.0,3.3923,7.131708929,1
wsj_0013.10.2,0.0,0.0,0.0,0.0,-2.0,2343.202271,-55.0,2.1107,0.525051016,0
wsj_0013.14.1,-0.21300000000000002,-0.04200000000000001,-0.8660254037844387,1.0,1.0,-56.51673426,-44.0,1.452,4.41204473,1
wsj_0013.15.1,0.269,-0.061,1.0,-1.0,0.0,-127.3413429,-3.0,-3.6406,-4.90682972,0
wsj_0013.17.1,0.0,0.461,0.07956243581913239,0.0,-12.0,-1480.845478,0.0,4.8180000000000005,4.165407902,1
wsj_0013.17.2,0.0,0.0,0.0358111278628411,0.0,16.0,-2657.46776,-54.0,-4.1453,-12.21862261,0
wsj_0013.18.1,0.17800000000000005,0.191,0.35296073162346764,-0.632455532033676,-8.0,615.9073437999999,-71.0,8.6985,4.625707448,1
wsj_0015.1.1,0.0,0.0,-0.3152938121603228,0.0,5.0,-607.9244074,-9.0,-0.4319,-0.888814463,0
wsj_0015.5.1,0.332,0.491,0.8660254037844387,-1.0,1.0,-115.9568852,-6.0,1.956,0.5423893439999999,1
wsj_0015.7.1,0.0,0.0,-0.1931753827308207,0.0,4.0,-176.8768931,5.0,-0.2287,1.167913365,0
wsj_0015.11.1,0.0,0.0,0.0,0.0,-4.0,544.3704067000001,-11.0,-1.7352,4.309093671,1
wsj_0015.16.1,0.0,0.0,-0.0545678512523598,0.0,-1.0,-77.37390613,-1.0,-0.3532,0.66311019,0
wsj_0015.16.2,0.0,0.0,0.2036755052624542,0.0,6.0,-312.84819489999995,12.0,-1.2373,-0.037222617,1
wsj_0015.16.3,0.0,0.0,-0.043199548908118196,0.0,-2.0,213.3204697,-6.0,-1.5479,-0.573829665,0
wsj_0015.16.4,0.0,0.0,0.084125437347388,0.0,5.0,-749.9115985000001,-4.0,-0.5348,0.279699156,1
wsj_0015.16.5,0.0,0.0,-0.1529358354919017,0.0,-4.0,-149.7691245,13.0,-0.9058,0.433623372,0
wsj_0015.22.1,0.0,0.0,0.08898870238999518,0.0,-2.0,-163.3592601,-4.0,3.7573,5.1213040130000005,1
