id,pmi_neardep,pmi_adjacent,spearman_allwords,spearman_dependents,root_cluster
wsj_0003.1.0,-0.523,-0.202,0.0,0.0,26
wsj_0003.1.1,-0.179,-0.028,0.9999999999999999,-0.9999999999999999,26
wsj_0003.2.0,-0.381,0.117,0.0,0.0,11
wsj_0003.2.1,-0.381,0.117,0.0,0.0,11
wsj_0003.2.2,0.044,-0.131,-0.9999999999999999,-0.9999999999999999,11
wsj_0003.3.0,-0.313,-0.158,0.0861640436855329,-0.9999999999999999,3
wsj_0003.3.1,-0.313,-0.158,-0.42466564387869793,-0.9999999999999999,3
wsj_0003.4.0,-0.66,-0.323,0.04372423814042334,0.9999999999999999,27
wsj_0003.4.1,-0.66,-0.323,0.3664283082689369,0.39999999999999997,27
wsj_0003.7.0,-0.713,-0.207,-0.5868368683374969,0.7,21
wsj_0003.7.1,-0.713,-0.207,-0.3832404038122429,0.39999999999999997,21
wsj_0003.9.0,0.044,0.159,-0.06878359394287946,-0.9999999999999999,11
wsj_0003.9.1,-0.381,0.117,0.0,0.0,11
wsj_0003.11.0,0.099,-0.029,-0.2529565163192807,-0.9999999999999999,11
wsj_0003.11.1,0.099,-0.029,-0.24492615072184315,-0.9999999999999999,11
wsj_0003.12.0,-0.381,0.117,0.0,0.0,11
wsj_0003.12.1,0.307,0.007,-0.5,-0.9999999999999999,11
wsj_0003.15.0,-0.381,0.117,0.0,0.0,11
wsj_0003.15.1,0.307,0.007,-0.5,-0.9999999999999999,11
wsj_0003.16.0,0.044,0.159,0.5,-0.9999999999999999,11
wsj_0003.16.1,-0.381,0.117,0.0,0.0,11
wsj_0003.17.0,-0.047,0.226,0.0,0.0,21
wsj_0003.17.1,-0.121,0.129,0.9999999999999999,-0.9999999999999999,11
wsj_0003.19.0,-0.381,0.117,0.0,0.0,11
wsj_0003.19.1,0.044,-0.131,-0.8660254037844387,-0.9999999999999999,11
wsj_0003.21.0,0.492,0.391,0.0,0.0,29
wsj_0003.21.1,-0.492,-0.299,-0.5,-0.9999999999999999,3
wsj_0003.24.0,0.086,-0.382,-0.5765999761251578,-0.9999999999999999,11
wsj_0003.24.1,0.086,-0.382,-0.7142857142857144,-0.9999999999999999,11
wsj_0003.27.0,0.181,0.19,-0.038505250592414726,-0.9999999999999999,3
wsj_0003.27.1,0.181,0.19,0.28224428575677823,-0.9999999999999999,3
wsj_0003.28.0,0.044,0.159,-0.14958965297274282,-0.9999999999999999,11
wsj_0003.28.1,-0.381,0.117,0.0,0.0,11
wsj_0004.4.0,-1.52,-0.527,-0.21336235478617852,0.19999999999999998,3
wsj_0004.4.1,-0.247,-0.135,0.19679052140472775,0.6000000000000001,27
wsj_0004.4.2,0.419,0.121,0.297257261279773,-0.39999999999999997,27
wsj_0004.4.3,-1.52,-0.527,-0.1586726669926004,0.39999999999999997,3
wsj_0004.4.4,0.419,0.121,0.11070186069251191,-0.19999999999999998,27
wsj_0004.4.5,-0.247,-0.135,0.23096992775396993,0.0,27
wsj_0004.5.0,0.086,-0.382,-0.3144571058001845,-0.9999999999999999,11
wsj_0004.5.1,0.086,-0.382,-0.23333831733114097,-0.9999999999999999,11
wsj_0004.6.0,-0.244,-0.44,-0.03408106015837332,-0.9999999999999999,11
wsj_0004.6.1,-0.244,-0.44,-0.4642857142857144,-0.9999999999999999,11
wsj_0004.7.0,-0.259,-0.167,-0.6139845991168652,-0.9999999999999999,3
wsj_0004.7.1,-0.259,-0.167,-0.6139845991168652,-0.9999999999999999,3
wsj_0004.8.0,0.271,0.093,0.5276077591237591,-0.9999999999999999,26
wsj_0004.8.1,-0.313,-0.158,-0.14035174116450078,-0.9999999999999999,3
wsj_0004.8.2,0.271,0.093,0.2848378065349519,-0.9999999999999999,26
wsj_0004.8.3,0.271,0.093,-0.1129529232811016,-0.9999999999999999,26
wsj_0004.8.4,0.271,0.093,-0.39410748231775666,-0.9999999999999999,26
wsj_0004.8.5,-0.179,-0.028,-0.4167198534753944,-0.9999999999999999,26
wsj_0004.8.6,0.271,0.093,0.48618866977517644,-0.9999999999999999,26
wsj_0004.11.0,-0.131,-0.087,-0.1067933116108467,0.09999999999999999,3
wsj_0004.11.1,-0.131,-0.087,0.1868882953189817,0.09999999999999999,3
wsj_0004.11.2,2.038,1.009,-0.06229609843966058,-0.09999999999999999,26
wsj_0004.11.3,-0.131,-0.087,-0.33410555586780794,-0.46169025843831935,3
wsj_0004.11.4,0.71,0.215,-0.058299499582927426,-0.4928053803045812,27
wsj_0004.11.5,-0.131,-0.087,0.46499587763889494,-0.6,3
wsj_0004.12.0,-0.742,0.066,0.3065593342626865,1.0,27
wsj_0004.12.1,-0.742,0.066,0.7999999999999999,0.9999999999999999,27
wsj_0004.14.0,-0.239,0.007,-0.1871711439787135,-0.3,11
wsj_0004.14.1,-0.239,0.007,-0.18936359598795352,-0.3,11
wsj_0004.15.0,-0.179,-0.028,0.059260885094595976,-0.20519567041703085,26
wsj_0004.15.1,-0.179,-0.028,-0.10285948840637434,-0.20519567041703085,26
wsj_0004.15.2,-0.364,-0.095,-0.03448317701698921,0.0,26
wsj_0004.17.0,0.764,0.073,-0.05371919165651629,-0.3,11
wsj_0004.17.1,-0.131,-0.087,-0.02138819667805741,-0.6,3
wsj_0008.1.0,0.77,0.482,-0.08836533883687865,-0.5,27
wsj_0008.1.1,0.77,0.482,0.08571428571428573,-0.9999999999999999,27
wsj_0008.2.0,-0.381,0.117,0.0,0.0,11
wsj_0008.2.1,0.307,0.007,-0.5,-0.9999999999999999,11
wsj_0008.2.2,-0.381,0.117,0.0,0.0,11
wsj_0008.6.0,0.086,0.007,0.04133055687433013,-0.9999999999999999,11
wsj_0008.6.1,0.086,0.007,0.07008224861299456,-0.9999999999999999,11
wsj_0010.1.0,-1.581,-0.386,-0.005381220025006314,0.5,26
wsj_0010.1.1,-1.581,-0.386,0.05056686869069631,0.15389675281277312,26
wsj_0010.9.0,-0.247,-0.135,0.03846153846153846,0.19999999999999998,27
wsj_0010.9.1,-0.247,-0.135,0.03846153846153846,0.19999999999999998,27
wsj_0010.12.0,-0.754,-0.417,0.09829313793410857,-0.6000000000000001,3
wsj_0010.12.1,-0.754,-0.417,0.09829313793410857,-0.6000000000000001,3
wsj_0010.17.0,1.022,0.503,0.3300499154949815,-1.0,3
wsj_0010.17.1,0.52,0.066,0.37485331438230246,-0.5,27
wsj_0010.18.0,0.181,-0.167,-0.14494275891311212,-1.0,3
wsj_0010.18.1,-0.259,-0.167,-0.5714285714285715,-0.5,3
wsj_0010.18.2,0.181,-0.167,-0.14494275891311212,-1.0,3
wsj_0010.19.0,-0.203,-0.167,0.17889116280878825,-0.9999999999999999,3
wsj_0010.19.1,-0.203,-0.167,0.09660122791674565,-0.9999999999999999,3
wsj_0011.1.0,0.181,-0.167,-0.3630825909042564,-0.36037498507822363,3
wsj_0011.1.1,0.181,-0.167,-0.35350487267896424,-0.504524979109513,3
wsj_0011.3.0,-0.69,-0.685,-0.1743283625969849,0.8660254037844387,29
wsj_0011.3.1,-0.69,-0.685,-0.028674019309306156,0.9999999999999999,29
wsj_0011.6.0,-0.244,-0.44,-0.22038651119356345,-0.9999999999999999,11
wsj_0011.6.1,-0.244,-0.44,-0.3911860573685751,-0.9999999999999999,11
wsj_0011.7.0,-0.259,-0.683,-0.10000617341112421,0.0,3
wsj_0011.7.1,-0.259,-0.683,-0.44447188182721864,-0.6000000000000001,3
wsj_0011.8.0,-0.963,-0.246,-0.5763539780776888,0.39999999999999997,11
wsj_0011.8.1,-0.614,-0.474,0.10170952554312156,0.0,11
wsj_0012.3.0,0.086,-0.382,-0.20218284730688024,-1.0,11
wsj_0012.3.1,0.086,-0.382,-0.20218284730688024,-1.0,11
wsj_0012.6.0,0.172,0.503,0.4260677174563616,-0.49999999999999994,3
wsj_0012.6.1,0.172,0.503,0.4142862177683207,-0.7999999999999999,3
wsj_0012.6.2,0.172,0.503,0.4247789005174367,-0.49999999999999994,3
wsj_0012.8.0,0.099,0.129,0.024896409034272773,-0.8660254037844387,11
wsj_0012.8.1,0.099,0.129,-0.18325875236501785,-0.8660254037844387,11
wsj_0012.9.0,0.099,-0.05,0.33624357001566924,-0.9999999999999999,11
wsj_0012.9.1,0.086,-0.382,-0.3123574147686545,-0.9999999999999999,11
wsj_0012.11.0,0.361,0.159,0.8660254037844387,-0.9999999999999999,11
wsj_0012.11.1,-0.381,0.117,0.0,0.0,11
wsj_0012.12.0,0.099,-0.05,-0.1579656002382882,-0.9999999999999999,11
wsj_0012.12.1,0.099,-0.05,-0.16552729328554008,-0.9999999999999999,11
wsj_0013.6.0,-0.244,0.007,0.1701729104696847,-0.9999999999999999,11
wsj_0013.6.1,0.039,0.007,0.2708396385840514,-0.9999999999999999,11
wsj_0013.7.0,-0.42,-0.109,0.04966390127197064,0.09999999999999999,3
