id,pmi_neardep,pmi_adjacent,spearman_allwords,spearman_dependents,root_cluster
cf01.1.0,-0.122,-0.175,0.29040703158257614,-0.19999999999999998,37
cf01.1.1,-0.122,-0.175,0.14510272179633635,-0.19999999999999998,37
cf01.2.0,-0.218,-0.139,-0.35259863760501065,-0.9999999999999999,54
cf01.2.1,-0.218,-0.139,-0.39442085638066615,-0.9999999999999999,54
cf01.3.0,-0.381,-0.081,0.05940605706521969,-0.8660254037844387,54
cf01.3.1,-0.65,-0.517,-0.5783552312542559,0.8660254037844387,49
cf01.4.0,1.297,0.455,-0.07895666498469775,-1.0,51
cf01.4.1,1.297,0.455,-0.17776555752256942,-0.8999999999999998,51
cf01.6.0,1.297,0.455,0.23171162466125958,-0.5,51
cf01.6.1,1.297,0.455,0.37885554458655346,-0.20519567041703085,51
cf01.7.0,-0.455,-0.391,-0.09734072646019146,-0.9999999999999999,54
cf01.7.1,-0.455,-0.391,-0.09734072646019146,-0.9999999999999999,54
cf01.8.0,-0.363,-0.391,0.0611281278798208,-1.0,54
cf01.8.1,-0.363,-0.391,0.0611281278798208,-1.0,54
cf01.8.2,-0.363,-0.391,0.06900203358807053,-1.0,54
cf01.8.3,-0.363,-0.391,-0.00566765101730208,-1.0,54
cf01.8.4,-0.363,-0.391,0.06536690839955066,-0.7999999999999999,54
cf01.11.0,0.508,-0.492,-0.5056838882094162,-0.9999999999999999,51
cf01.11.1,0.391,0.086,-0.5185030497315095,-0.9999999999999999,51
cf01.14.0,-0.373,-0.358,-0.15360203388305216,0.550782483869826,4
cf01.14.1,-1.944,-0.353,-0.11263141264062387,0.550782483869826,4
cf01.16.0,-0.373,-0.358,-0.2490300768065832,0.504524979109513,4
cf01.16.1,-0.233,0.169,-0.29298934770554286,0.42857142857142866,4
cf01.16.2,-0.373,-0.358,-0.2490300768065832,0.504524979109513,4
cf01.16.3,-0.373,-0.358,-0.3448427778426097,0.2522624895547565,4
cf01.16.4,-2.458,-1.338,-0.32329234524749506,0.32732683535398865,4
