# text = From:afafasdasdasd
# sent_id = weblog-blogspot.blablabla
1	From	from	ADP	IN	_	3	case	3:case	_
2	the	the	DET	DT	Definite=Def|PronType=Art	3	det	3:det	_
3	AP	AP	PROPN	NNP	Number=Sing	4	obl	4:obl:from	_
4	comes	come	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	0	root	0:root	_
5	this	this	DET	DT	Number=Sing|PronType=Dem	6	det	6:det	_
6	story	story	NOUN	NN	Number=Sing	4	nsubj	4:nsubj	_
7	:	:	PUNCT	:	_	4	punct	4:punct	_

wsj_0003.1.0
1	A	_	_	DT	_	2	NMOD	_	_
2	form	_	_	NN	_	12	SBJ	_	_
3	of	_	_	IN	_	2	NMOD	_	_
4	asbestos	_	_	NN	_	3	PMOD	_	_
5	once	_	_	RB	_	6	TMP	_	_
6	used	_	_	VBN	_	2	NMOD	_	_
7	to	_	_	TO	_	6	OPRD	_	_
8	make	_	_	VB	_	7	IM	_	_
9	Kent	_	_	NNP	_	11	NMOD	_	_
10	cigarette	_	_	NN	_	11	NMOD	_	_
11	filters	_	_	NNS	_	8	OBJ	_	_
12	has	_	_	VBZ	_	35	DEP	_	_
13	caused	_	_	VBN	_	12	VC	_	_
14	a	_	_	DT	_	16	NMOD	_	_
15	high	_	_	JJ	_	16	NMOD	_	_
16	percentage	_	_	NN	_	13	OBJ	_	_
17	of	_	_	IN	_	16	NMOD	_	_
18	cancer	_	_	NN	_	19	NMOD	_	_
19	deaths	_	_	NNS	_	17	PMOD	_	_
20	among	_	_	IN	_	16	LOC	_	_
21	a	_	_	DT	_	22	NMOD	_	_
22	group	_	_	NN	_	20	PMOD	_	_
23	of	_	_	IN	_	22	NMOD	_	_
24	workers	_	_	NNS	_	23	PMOD	_	_
25	exposed	_	_	VBN	_	24	NMOD	_	_
26	to	_	_	TO	_	25	ADV	_	_
27	it	_	_	PRP	_	26	PMOD	_	_
28	more	_	_	RBR	_	30	DEP	_	_
29	than	_	_	IN	_	30	DEP	_	_
30	30	_	_	CD	_	31	NMOD	_	_
31	years	_	_	NNS	_	32	AMOD	_	_
32	ago	_	_	IN	_	25	TMP	_	_
33	,	_	_	,	_	35	P	_	_
34	researchers	_	_	NNS	_	35	SBJ	_	_
35	reported	_	_	VBD	_	0	ROOT	_	_
36	.	_	_	.	_	35	P	_	_

cf01.1.0
1	In	_	_	IN	_	7	ADV	_	_
2	American	_	_	JJ	_	3	NMOD	_	_
3	romance	_	_	NN	_	1	PMOD	_	_
4	,	_	_	,	_	7	P	_	_
5	almost	_	_	RB	_	6	NMOD	_	_
6	nothing	_	_	NN	_	7	SBJ	_	_
7	rates	_	_	VBZ	_	0	ROOT	_	_
8	higher	_	_	JJR	_	7	OPRD	_	_
9	than	_	_	IN	_	8	AMOD	_	_
10	what	_	_	WP	_	14	DEP	_	_
11	the	_	_	DT	_	13	NMOD	_	_
12	movie	_	_	NN	_	13	NMOD	_	_
13	men	_	_	NNS	_	14	SBJ	_	_
14	have	_	_	VB	_	9	PMOD	_	_
15	called	_	_	VBN	_	14	VC	_	_
16	``	_	_	``	_	17	P	_	_
17	meeting	_	_	NN	_	15	OBJ	_	_
18	cute	_	_	JJ	_	17	OBJ	_	_
19	''	_	_	''	_	17	P	_	_
20	--	_	_	:	_	7	P	_	_
21	that	_	_	DT	_	22	SBJ	_	_
22	is	_	_	VBZ	_	25	ADV	_	_
23	,	_	_	,	_	25	P	_	_
24	boy-meets-girl	_	_	NN	_	25	SBJ	_	_
25	seems	_	_	VBZ	_	7	COORD	_	_
26	more	_	_	RB	_	27	AMOD	_	_
27	adorable	_	_	JJ	_	25	PRD	_	_
28	if	_	_	IN	_	25	ADV	_	_
29	it	_	_	PRP	_	30	SBJ	_	_
30	does	_	_	VBZ	_	28	SUB	_	_
31	n't	_	_	RB	_	30	ADV	_	_
32	take	_	_	VB	_	30	VC	_	_
33	place	_	_	NN	_	32	OBJ	_	_
34	in	_	_	IN	_	32	ADV	_	_
35	an	_	_	DT	_	36	NMOD	_	_
36	atmosphere	_	_	NN	_	34	PMOD	_	_
37	of	_	_	IN	_	36	NMOD	_	_
38	correct	_	_	JJ	_	41	NMOD	_	_
39	and	_	_	CC	_	38	COORD	_	_
40	acute	_	_	JJ	_	39	CONJ	_	_
41	boredom	_	_	NN	_	37	PMOD	_	_
42	.	_	_	.	_	7	P	_	_
